#plotted using ACD6_amplicon_DSL.r (/Users/dklu0001/Documents/SLU/Projects/ACD6/ACD6_data_and_code/)
Sample	OTU	Genotype	Treatment	GenoTreatmentOTU	GenoTreatment	abundance	abundance_square_root
S71	Zotu4	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu4	Est-1:acd6-null_DC	0.3865979381	0.6217700042
S71	Zotu5	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu5	Est-1:acd6-null_DC	0.00277557494	0.05268372557
S71	Zotu1	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu1	Est-1:acd6-null_DC	334.8528945	18.29898616
S78	Zotu11	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu11	Est-1:acd6-null_DC	0.00053050398	0.02303267201
S78	Zotu7	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu7	Est-1:acd6-null_DC	0.01405835544	0.118567936
S78	Zotu8	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu8	Est-1:acd6-null_DC	0.00132625995	0.03641785208
S78	Zotu10	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu10	Est-1:acd6-null_DC	0	0
S78	Zotu6	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu6	Est-1:acd6-null_DC	0.0976127321	0.3124303636
S78	Zotu4	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu4	Est-1:acd6-null_DC	0.2604774536	0.5103699184
S78	Zotu5	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu5	Est-1:acd6-null_DC	0.00053050398	0.02303267201
S78	Zotu1	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu1	Est-1:acd6-null_DC	240.5225464	15.50878933
S81	Zotu11	Est-1	DC	Est-1_DC_Zotu11	Est-1_DC	0.0028762372	0.05363056218
S81	Zotu7	Est-1	DC	Est-1_DC_Zotu7	Est-1_DC	0.01294306742	0.1137676027
S81	Zotu8	Est-1	DC	Est-1_DC_Zotu8	Est-1_DC	0.00575247441	0.07584506846
S81	Zotu10	Est-1	DC	Est-1_DC_Zotu10	Est-1_DC	0	0
S81	Zotu6	Est-1	DC	Est-1_DC_Zotu6	Est-1_DC	0.1319685306	0.3632747315
S81	Zotu4	Est-1	DC	Est-1_DC_Zotu4	Est-1_DC	0.09153201929	0.3025425909
S81	Zotu5	Est-1	DC	Est-1_DC_Zotu5	Est-1_DC	0.00169190424	0.04113276358
S81	Zotu1	Est-1	DC	Est-1_DC_Zotu1	Est-1_DC	39.91235936	6.31762292
S90	Zotu11	Est-1	DC	Est-1_DC_Zotu11	Est-1_DC	0.00139586823	0.03736131997
S90	Zotu7	Est-1	DC	Est-1_DC_Zotu7	Est-1_DC	0.01321421924	0.1149531176
S90	Zotu8	Est-1	DC	Est-1_DC_Zotu8	Est-1_DC	0.00753768844	0.08681986201
S90	Zotu10	Est-1	DC	Est-1_DC_Zotu10	Est-1_DC	0	0
S90	Zotu6	Est-1	DC	Est-1_DC_Zotu6	Est-1_DC	0.1641541039	0.4051593561
S90	Zotu4	Est-1	DC	Est-1_DC_Zotu4	Est-1_DC	0.03847943421	0.1961617552
S90	Zotu5	Est-1	DC	Est-1_DC_Zotu5	Est-1_DC	0.00032570259	0.0180472322
S90	Zotu1	Est-1	DC	Est-1_DC_Zotu1	Est-1_DC	23.15805881	4.812282079
