OTU_ID	F10p515F2F4F6	D5p515F2F4F6	E6p515F1F3F5	H8p515F2F4F6	C1p515F2F4F6	F8p515F1F3F5	A4p515F2F4F6	A8p515F1F3F5	A11p515F2F4F6	A5p515F2F4F6	C4p515F2F4F6	B12p515F2F4F6	F10p515F1F3F5	F11p515F1F3F5	G9p515F1F3F5	E3p515F1F3F5	E7p515F1F3F5	H2p515F2F4F6	E4p515F2F4F6	F6p515F1F3F5	C11p515F1F3F5	F12p515F1F3F5	B8p515F2F4F6	F12p515F2F4F6	G7p515F2F4F6	E3p515F2F4F6	C5p515F2F4F6	E2p515F2F4F6	D2p515F1F3F5	G3p515F1F3F5
Otu4791	0	0	2	0	0	0	1	70	0	0	1	21	34	22	36	34	0	0	6	1	44	23	1	13	15	6	11	9	0	3
Otu1089	4	0	2	4	0	9	1	1	0	0	0	4	0	7	2	0	4	0	0	1	0	10	0	2	0	0	0	0	0	1
Otu7852	0	0	0	0	0	3	5	44	0	1	0	5	20	12	0	10	1	0	11	2	14	9	0	10	6	6	10	3	0	0
Otu44	181	712	111	33	31	53	252	97	0	163	94	64	21	72	76	51	68	129	155	115	24	184	410	91	155	109	204	31	15	131
Otu302	16	4	1	6	1	3	132	13	2	66	5	16	8	4	2	6	12	1	46	6	4	12	43	8	24	9	24	0	0	0
Otu271	0	1	1	0	0	2	0	28	0	4	0	0	11	57	74	0	364	2	23	0	51	23	4	0	32	27	11	1	54	0
Otu48	9	60	101	15	4	136	115	107	20	19	17	175	79	127	30	124	186	103	423	119	91	100	52	279	86	107	484	49	121	125
Otu154	5	8	9	0	9	2	247	11	1	12	1	43	12	16	14	41	114	20	91	6	46	20	99	97	50	7	27	9	2	8
Otu117	0	0	2	16	0	0	3	0	0	0	0	788	0	0	0	2	661	0	0	30	0	0	0	5	0	1	0	0	0	3
Otu6081	0	0	5	0	0	0	3	6	0	0	4	2	6	10	33	9	0	0	7	2	17	1	0	2	2	8	2	2	0	0
Otu476	0	0	16	33	1	16	14	1	0	0	1	11	0	0	3	6	40	5	0	68	1	1	0	39	0	0	1	1	0	36
Otu404	14	1	1	0	0	3	14	2	0	13	8	5	0	0	5	0	0	24	8	1	30	6	5	0	0	42	7	92	0	7
Otu517	9	20	1	0	3	4	0	16	0	145	2	2	13	14	31	0	0	0	6	0	10	15	11	0	3	23	10	0	0	3
Otu8275	1	2	15	0	0	8	15	35	1	29	0	4	23	19	0	9	0	17	42	27	22	29	15	2	24	9	11	23	0	17
Otu130	14	20	6	2	18	8	93	15	1	34	24	23	9	26	10	3	0	87	58	11	12	51	117	8	6	32	66	137	0	12
Otu19	240	87	132	355	93	20	55	341	0	29	13	1927	12	474	55	1005	6	663	76	110	4	29	11	2243	41	19	31	310	253	3117
Otu293	1	1	1	1	0	0	76	0	0	0	0	0	2	0	0	0	0	31	0	1	1	2	1	0	0	1	0	17	0	0
Otu2252	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	2	0	0	0	0
Otu49	2	10	3	3	2	40	109	39	87	714	395	35	16	2	72	113	121	119	571	1	348	255	389	58	164	4353	254	1255	0	3
Otu99	1	0	0	0	19	99	666	15	56	76	11	11	156	2	0	3	418	4	65	1	42	36	343	11	255	622	31	12	0	5
Otu187	59	9	22	10	10	23	58	91	4	22	7	28	13	158	23	14	28	3	29	8	25	39	10	40	11	24	23	0	57	35
Otu4782	0	0	5	0	0	1	3	48	0	1	1	13	13	32	31	12	0	0	22	3	49	29	2	12	29	59	18	3	0	2
Otu545	18	10	10	9	0	20	1	0	0	9	0	7	3	12	3	2	8	0	0	5	3	2	2	24	1	2	3	0	6	24
Otu419	27	1	9	1	3	1	12	5	0	0	3	12	1	5	0	2	0	7	1	4	1	0	1	7	0	9	1	2	0	3
Otu442	22	44	14	0	6	9	20	21	0	66	12	41	51	14	5	9	24	15	12	32	83	21	22	81	20	70	15	20	37	29
Otu902	2	7	0	0	0	0	2	15	0	2	0	0	1	35	2	0	1	1	0	0	0	48	7	0	0	0	1	0	0	0
Otu413	4	18	2	8	52	8	2	31	0	15	2	18	24	12	0	2	0	1	8	1	36	1	2	10	1	9	1	2	0	7
Otu661	18	2	6	3	0	1	1	0	9	8	0	3	0	0	1	1	11	40	1	3	0	1	1	7	2	0	0	5	5	6
Otu6611	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu6484	28	4	21	1	0	29	10	123	12	16	0	83	69	51	8	155	0	36	29	47	19	73	9	78	16	12	44	62	0	59
Otu632	0	1	0	0	0	8	0	3	0	0	0	0	105	1	0	1	0	0	7	0	214	0	0	0	0	0	0	0	0	0
