Otu49	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(0.9800),o:Cantharellales(0.9800),f:Ceratobasidiaceae(0.9400),g:Thanatephorus(0.6000),s:Thanatephorus_cucumeris_SH220622.07FU(0.6000)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu41	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Tremellomycetes(0.9400),o:Cystofilobasidiales(0.9400),f:Cystofilobasidiaceae(0.9400),g:Cystofilobasidium(0.9400),s:Cystofilobasidium_macerans_SH194016.07FU(0.3200)	+	d:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Cystofilobasidiaceae,g:Cystofilobasidium
Otu51	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Eurotiomycetes(1.0000),o:Chaetothyriales(1.0000),f:Herpotrichiellaceae(1.0000)	+	d:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
Otu43	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Phaeosphaeriaceae(1.0000),g:Wojnowiciella(0.0400),s:Wojnowiciella_eucalypti_SH550409.07FU(0.0400)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae
Otu53	d:Fungi(1.0000)	+	d:Fungi
Otu54	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000),o:Helotiales(1.0000),f:Helotiaceae(1.0000),g:Articulospora(1.0000)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora
Otu56	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(0.9900),f:Phaeosphaeriaceae(0.9900),g:Septoriella(0.8800),s:Septoriella_phragmitis_SH238525.07FU(0.8600)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Septoriella,s:Septoriella_phragmitis_SH238525.07FU
Otu50	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Ceratobasidium(0.6600),s:Thanatephorus_cucumeris_SH220622.07FU(0.2600)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu52	d:Fungi(1.0000),p:Ascomycota(0.4000),c:Eurotiomycetes(0.3900),o:Eurotiales(0.3900),f:Aspergillaceae(0.3900),g:Penicillium(0.3900),s:Cladosporium_grevilleae_SH176536.07FU(0.0100)	+	d:Fungi
Otu57	d:Fungi(1.0000),p:Ascomycota(0.9900),c:Dothideomycetes(0.9600),o:Pleosporales(0.9600),f:Phaeosphaeriaceae(0.9100),g:Septoriella(0.8900),s:Septoriella_hirta_SH182993.07FU(0.6400)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Septoriella
