#metadata_combined_16S_2017_2018_harvest_years								
Sample	Primer	Frameshift	Experiment	Plate pos	Code	Site	Genotype	Harvest_Year
RM133L1S122	515	F56R12	CRISPR	26	6_28	GH_Tue	Est-1	2018
RM133L1S123	515	F56R12	CRISPR	27	3_09	GH_Tue	Est-1:acd6-null	2018
RM133L1S124	515	F56R12	CRISPR	28	7_13	GH_Tue	Est-1	2018
RM133L1S125	515	F56R12	CRISPR	29	5_38	GH_Tue	Est-1:acd6-null	2018
RM133L1S126	515	F56R12	CRISPR	30	5_12	GH_Tue	Est-1:acd6-null	2018
RM133L1S127	515	F56R12	CRISPR	31	10_03	GH_Tue	Est-1	2018
RM133L1S128	515	F56R12	CRISPR	32	7_20	GH_Tue	Est-1:acd6-null	2018
RM133L1S129	515	F56R12	CRISPR	33	6_06	GH_Tue	Est-1:acd6-null	2018
RM133L1S13	515	F34R34	HIF	13	9_14	F_Tue	HIF:Est-1	2018
RM133L1S130	515	F56R12	CRISPR	34	9_35	GH_Tue	Est-1	2018
RM133L1S131	515	F56R12	CRISPR	35	2_04	GH_Tue	Est-1:acd6-null	2018
RM133L1S132	515	F56R12	CRISPR	36	8_07	GH_Tue	Est-1:acd6-null	2018
RM133L1S133	515	F56R12	CRISPR	37	10_35	GH_Tue	Est-1	2018
RM133L1S134	515	F56R12	CRISPR	38	6_37	GH_Tue	Est-1:acd6-null	2018
RM133L1S135	515	F56R12	CRISPR	39	9_31	GH_Tue	Est-1	2018
RM133L1S136	515	F56R12	CRISPR	40	8_20	GH_Tue	Est-1:acd6-null	2018
RM133L1S137	515	F56R12	CRISPR	41	7_11	GH_Tue	Est-1:acd6-null	2018
RM133L1S138	515	F56R12	CRISPR	42	1_21	GH_Tue	Est-1	2018
RM133L1S139	515	F56R12	CRISPR	43	4_29	GH_Tue	Est-1	2018
RM133L1S14	515	F34R34	HIF	14	12_35	F_Tue	HIF:Col-0	2018
RM133L1S140	515	F56R12	CRISPR	44	4_28	GH_Tue	Est-1:acd6-null	2018
RM133L1S141	515	F56R12	CRISPR	45	3_10	GH_Tue	Est-1	2018
RM133L1S142	515	F56R12	CRISPR	46	3_37	GH_Tue	Est-1	2018
RM133L1S143	515	F56R12	CRISPR	47	5_02	GH_Tue	Est-1	2018
RM133L1S144	515	F56R12	CRISPR	48	10_12	GH_Tue	Est-1:acd6-null	2018
RM133L1S15	515	F34R34	HIF	15	16_04	F_Tue	HIF:Col-0	2018
RM133L1S16	515	F34R34	HIF	16	2_30	F_Tue	HIF:Col-0	2018
RM133L1S17	515	F34R34	HIF	17	15_05	F_Tue	HIF:Est-1	2018
RM133L1S2	515	F34R34	HIF	2	12_06	F_Tue	HIF:Col-0	2018
RM133L1S20	515	F34R34	HIF	20	12_33	F_Tue	HIF:Est-1	2018
RM133L1S21	515	F34R34	HIF	21	13_37	F_Tue	HIF:Est-1	2018
RM133L1S22	515	F34R34	HIF	22	12_39	F_Tue	HIF:Est-1	2018
RM133L1S23	515	F34R34	HIF	23	15_20	F_Tue	HIF:Col-0	2018
RM133L1S24	515	F34R34	HIF	24	2_39	F_Tue	HIF:Col-0	2018
RM133L1S26	515	F34R34	HIF	26	4_03	F_Tue	HIF:Est-1	2018
RM133L1S27	515	F34R34	HIF	27	9_37	F_Tue	HIF:Col-0	2018
RM133L1S29	515	F34R34	HIF	29	16_29	F_Tue	HIF:Col-0	2018
RM133L1S3	515	F34R34	HIF	3	13_39	F_Tue	HIF:Col-0	2018
RM133L1S31	515	F34R34	HIF	31	1_28	F_Tue	HIF:Col-0	2018
RM133L1S32	515	F34R34	HIF	32	15_22	F_Tue	HIF:Col-0	2018
RM133L1S37	515	F34R34	HIF	37	12_34	F_Tue	HIF:Est-1	2018
RM133L1S39	515	F34R34	HIF	39	1_25	F_Tue	HIF:Est-1	2018
RM133L1S4	515	F34R34	HIF	4	8_19	F_Tue	HIF:Est-1	2018
RM133L1S40	515	F34R34	HIF	40	11_38	F_Tue	HIF:Est-1	2018
RM133L1S41	515	F34R34	HIF	41	13_04	F_Tue	HIF:Est-1	2018
RM133L1S42	515	F34R34	HIF	42	8_07	F_Tue	HIF:Col-0	2018
RM133L1S43	515	F34R34	HIF	43	6_28	F_Tue	HIF:Col-0	2018
RM133L1S44	515	F34R34	HIF	44	2_36	F_Tue	HIF:Est-1	2018
RM133L1S46	515	F34R34	HIF	46	9_04	F_Tue	HIF:Col-0	2018
RM133L1S49	515	F34R34	HIF	49	4_05	F_Tue	HIF:Col-0	2018
RM133L1S5	515	F34R34	HIF	5	2_23	F_Tue	HIF:Est-1	2018
RM133L1S50	515	F34R34	HIF	50	12_29	F_Tue	HIF:Col-0	2018
RM133L1S51	515	F34R34	HIF	51	5_25	F_Tue	HIF:Col-0	2018
RM133L1S52	515	F34R34	HIF	52	15_08	F_Tue	HIF:Col-0	2018
RM133L1S53	515	F34R34	HIF	53	7_02	F_Tue	HIF:Col-0	2018
RM133L1S56	515	F34R34	HIF	56	7_12	F_Tue	HIF:Col-0	2018
RM133L1S57	515	F34R34	HIF	57	11_39	F_Tue	HIF:Col-0	2018
RM133L1S58	515	F34R34	HIF	58	15_06	F_Tue	HIF:Est-1	2018
RM133L1S59	515	F34R34	HIF	59	3_35	F_Tue	HIF:Est-1	2018
RM133L1S60	515	F34R34	HIF	60	3_33	F_Tue	HIF:Est-1	2018
RM133L1S61	515	F34R34	HIF	61	5_03	F_Tue	HIF:Est-1	2018
RM133L1S62	515	F34R34	HIF	62	1_09	F_Tue	HIF:Col-0	2018
RM133L1S67	515	F34R34	HIF	67	7_04	F_Tue	HIF:Est-1	2018
RM133L1S9	515	F34R34	HIF	9	16_31	F_Tue	HIF:Est-1	2018
RM133L1S97	515	F56R12	HIF	1	1_06	GH_Tue	HIF:Col-0	2018
RM133L1S98	515	F56R12	HIF	2	3_04	GH_Tue	HIF:Est-1	2018
RM133L1S99	515	F56R12	HIF	3	6_31	GH_Tue	HIF:Est-1	2018
RM81L1S1	515	F1F3F5	HIF	1	25_25	F_Tue	likeHIF:Est-1	2017
RM81L1S10	515	F1F3F5	HIF	10	25_06	F_Tue	likeHIF:Col-0	2017
RM81L1S100	515	F2F4F6	CRISPR	4	4_04	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S101	515	F2F4F6	CRISPR	5	5_28	GH_Tue	HIF:Est-1-1	2017
RM81L1S102	515	F2F4F6	CRISPR	6	6_22	GH_Tue	HIF:Est-1-1	2017
RM81L1S103	515	F2F4F6	CRISPR	7	8_19	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S104	515	F2F4F6	CRISPR	8	1_20	GH_Tue	HIF:Est-1-1	2017
RM81L1S105	515	F2F4F6	CRISPR	9	8_03	GH_Tue	HIF:Est-1-1	2017
RM81L1S106	515	F2F4F6	CRISPR	10	4_07	GH_Tue	HIF:Est-1-1	2017
RM81L1S107	515	F2F4F6	CRISPR	11	4_08	GH_Tue	HIF:Est-1-1	2017
RM81L1S108	515	F2F4F6	CRISPR	12	3_08	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S109	515	F2F4F6	CRISPR	13	1_33	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S11	515	F1F3F5	HIF	11	25_21	F_Tue	likeHIF:Col-0	2017
RM81L1S110	515	F2F4F6	CRISPR	14	5_20	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S111	515	F2F4F6	CRISPR	15	2_32	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S112	515	F2F4F6	CRISPR	16	6_32	GH_Tue	HIF:Est-1-1	2017
RM81L1S113	515	F2F4F6	CRISPR	17	1_17	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
