CORNER	RM109S73	RM109S169	RM109S81	RM109S177	RM109S1	RM109S9	RM109S105	RM109S113	RM109S121	RM109S33	RM109S129	RM109S41	RM109S137	RM109S49	RM109S145	RM109S57	RM109S65	RM109S161	RM109S170	RM109S82	RM109S178	RM109S98	RM109S106	RM109S26	RM109S122	RM109S34	RM109S130	RM109S42	RM109S138	RM109S146	RM109S154	RM109S162	RM109S91	RM109S11	RM109S27	RM109S35	RM109S59	RM109S67	RM109S4	RM109S12	RM109S36	RM109S44	RM109S60	RM109S77	RM109S85	RM109S5	RM109S29	RM109S61	RM109S69	RM109S78	RM109S6	RM109S14	RM109S22	RM109S54	RM109S62	RM109S79	RM109S186	RM109S87	RM109S15	RM109S39	RM109S8	RM109S16	RM109S32	RM109S48
Otu34	57	307	18	601	34	25	5	92	197	81	212	101	136	77	212	101	33	214	30	39	76	82	21	169	139	29	125	0	198	132	304	182	1	4	50	62	39	15	19	83	84	88	0	58	30	57	20	75	46	24	45	44	43	48	53	28	184	2	18	11	40	9	6	61
Otu148	61	0	5	0	0	0	0	0	0	34	0	8	0	24	0	5	14	0	0	14	0	0	0	77	0	0	0	0	0	0	0	0	0	12	4	26	1	2	48	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	154	0	0	0	0	176	0	29	0
Otu45	544	0	83	0	141	12	0	0	0	63	99	188	1	61	0	9	132	0	0	435	0	0	16	181	1	117	0	48	0	0	0	847	90	92	25	109	0	123	38	1	1	0	0	0	7	0	0	0	0	0	5	0	57	0	3	37	0	0	3	1	452	46	386	0
Otu118	200	0	74	0	17	10	0	0	0	143	0	43	0	32	0	55	84	0	1	15	0	0	0	271	0	67	25	71	0	0	0	0	53	71	35	26	11	283	144	25	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	46	0	487	0	0	40	2	495	0
Otu8	363	308	182	462	265	195	2	82	175	618	236	607	115	560	244	635	244	197	236	343	67	90	34	1115	153	167	112	14	208	165	242	144	14	62	278	496	244	197	214	677	536	649	18	384	272	320	169	509	318	197	362	412	286	271	407	239	161	42	137	61	227	13	31	609
Otu1104	32	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu493	77	14	7	5	2	5	0	0	0	12	0	15	0	10	0	11	3	0	0	14	0	0	0	34	0	91	0	0	0	0	0	3	1	0	12	17	4	3	36	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	1	0	2	1	1	0
Otu147	399	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1051	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	182	0	8	0	0	0	2154	156	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Otu150	219	1	4	0	0	1615	0	0	0	2	0	26	0	0	0	100	0	0	2	6	91	0	0	258	0	0	0	0	0	0	0	0	0	0	0	2	9	46	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0
Otu99	313	0	127	0	980	19	1	0	0	190	0	34	0	195	0	0	0	0	10	10	0	0	40	297	20	0	0	9	2306	404	0	26	0	0	0	0	454	114	26	2	68	12	0	0	0	58	54	0	0	0	1	0	0	6	159	111	0	0	0	1	10	74	63	0
