#pheatmap(DATA BELOW, color=inferno(length(mat_breaks) - 1),  border_color=NA, 
#         breaks=mat_breaks, cluster_rows=TRUE, cluster_cols=TRUE, clustering_distance_cols=cluster_cols, labels_col=xlabel1,
#         labels_row=rownames(combined_ITSreads), fontsize_col=7, clustering_distance_rows=cluster_rows,
#         annotation_col=annotations, annotation_colors= annot_colors, 
#         main=paste("Subsampled to ", "threshold", sep="", collapse=""))
CORNER	RM109S73	RM109S169	RM109S81	RM109S177	RM109S1	RM109S9	RM109S105	RM109S113	RM109S121	RM109S33	RM109S129	RM109S41	RM109S137	RM109S49	RM109S145	RM109S57	RM109S65	RM109S161	RM109S170	RM109S82	RM109S178	RM109S98	RM109S106	RM109S26	RM109S122	RM109S34	RM109S130	RM109S42	RM109S138	RM109S146	RM109S154	RM109S162	RM109S91	RM109S11	RM109S27	RM109S35	RM109S59	RM109S67	RM109S4	RM109S12	RM109S36	RM109S44	RM109S60	RM109S77	RM109S85	RM109S5	RM109S29	RM109S61	RM109S69	RM109S78	RM109S6	RM109S14	RM109S22	RM109S54	RM109S62	RM109S79	RM109S186	RM109S87	RM109S15	RM109S39	RM109S8	RM109S16	RM109S32	RM109S48	D1AgITS1F1F3F5_WILD	H12AgITS1F2F4F6_WILD	E8AgITS1F1F3F5_WILD	C5AgITS1F1F3F5_WILD	E2AgITS1F1F3F5_WILD	D7AgITS1F1F3F5_WILD	B6AgITS1F1F3F5_WILD	C3AgITS1F1F3F5_WILD	C10AgITS1F1F3F5_WILD	A9AgITS1F1F3F5_WILD	F8AgITS1F1F3F5_WILD	B11AgITS1F1F3F5_WILD	G2AgITS1F1F3F5_WILD	D9AgITS1F1F3F5_WILD	D3AgITS1F1F3F5_WILD	E10AgITS1F1F3F5_WILD	A7AgITS1F1F3F5_WILD	A1AgITS1F1F3F5_WILD	B8AgITS1F1F3F5_WILD	B4AgITS1F1F3F5_WILD	H5AgITS1F2F4F6_WILD	E4AgITS1F1F3F5_WILD	H3AgITS1F2F4F6_WILD	A3AgITS1F1F3F5_WILD	C8AgITS1F1F3F5_WILD	F12AgITS1F1F3F5_WILD	D11AgITS1F1F3F5_WILD	C6AgITS1F1F3F5_WILD	B2AgITS1F1F3F5_WILD	D5AgITS1F1F3F5_WILD
Holtermanniales_fam_Incertae_sedis	0.702278951440982	0	0.521479306867233	0.0594223115086406	0.194211373302486	0.265448930999792	0	0.0961560687218015	0	1.05859554496831	0.0540651130606839	0.70028930969335	0	0.603861164759398	0	0.671243280642323	0.355385521723995	0.148839849643251	0.240802729455544	0.546930083012863	0	0	0	0.550904193237156	0	0.455861581577226	0	0.0987585082576786	0	0.200845329318348	0	0.228802402108356	0.302174594306328	0.419619094187767	0.513142650743406	0.283501199992244	0.850069374563734	0.224286589992853	0.341686951223961	0.253078400885014	0.150431227468841	0	0	0.163206858487998	0	0	0.38676689525349	0.0603264043053186	0.0589655031836124	0	0.0738716855153118	0.0982970117892305	0	0.0962272723738761	0.467587259207725	0.681994339470473	0	0.52713780161974	0.120648417962749	0	0.4383604418942	0.293130374984018	0.229415733870562	0	0.156269076979498	0.238095238095238	0.277978039860997	0.187689146037363	0	0.0997509336107633	0.110830967040482	0.231924872632371	0.123416823915013	0	0.109500719969601	0.368202111698351	0.168322978281956	0.1879612914782	0	0	0.165103294103617	0	0.0934008554249918	0.303537509516354	0.108794242354883	0	0.186048524061983	0.351364184463153	0	0.27544969439562	0.638370122934617	0.141705050316284	0.164521312134428	0.176901122657889
Plectosphaerellaceae	1.46503062491505	0	0.248605505081814	0	0.557829700303158	0	0	0.166547196482245	0	0.404582165676741	0	0.4769006786376	0	0.195918432625894	0	0.372338779487163	0	0	0	0.564866960812975	0	0	0	0	0	0.380767079103354	0	0.296275524773036	0	0	0	0.306970634717715	0.463514668704223	0	0.451077571448409	0.10352000154369	0.92564486518016	0.13613679674936	0.191008812490358	1.90545516271746	0	1.60971141057517	0	0.115404676373017	0	0.265494002989631	0	0	0	0	0	0	0	0.136085913661305	1.46462487557533	0	0	0	0	0	1.59264257654797	1.43603969364308	0.369921755595907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Teratosphaeriaceae	0.98856370411604	0	0	0	0.227733021518733	0	0	0	0	0.250911207696209	0	0.1192251696594	0	0	0	0	0	0	0	0.299565943844318	0	0	0	0	0	0.0983136370767556	0	3.78452603068001	0	0	0	0	0	0	0.818692451986433	0	0.175981079531438	0.575282964989165	0.0854217378059901	0	0.106370941045434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423496420940996	0	0	0	0	0.147660398320486	0.101503228615292	0	0	0.199501867221527	0	0	0.0617084119575067	0.277015446416203	0	0	0.119022319372687	0	0	0	0	0	0	0.158517294453712	0	0.18646853515705	0.0657780864969882	0	0.50395263067897	0	0.150465280944653	0	0	0.279705234119875
Herpotrichiellaceae	0.708751705335168	0.143215630604882	0.157231926983019	0.072777171266441	0.27465635809148	0.697736486963305	0.456461880970135	0.215011506111089	0.632202701509068	3.55019409558738	0.0936435227380602	0.303965733302346	0.646846227353151	0.939591795185283	1.15470053837925	0.727014707954274	0.899700468746938	0.297679699286501	1.08880238133649	0.654795086911207	0	0	1.04095945625085	1.27362896764587	0	0.219835975618869	0.865788697045416	1.24137519977586	0.348366507145809	0.568076377322596	0	1.45068662234966	0.806169145102041	0.67360603476497	1.42643252719431	0.273888179805627	1.69710007154372	0.736721659300871	0.325276286719509	0.253078400885014	0.398003617300743	0.309789105404395	0	0.774158103874288	0.311226093891228	0	1.52270278931654	0.208976794589507	0	0.110370362112207	0	0.219798800345818	0.325300024316178	0.48113636186938	0.111246245212886	0.768335794210757	0.946143943885542	0	0.341245257923554	0.0892021974339977	0.953706847630346	0.507716702714037	0.760885910252682	3.18047334942595	0.25914294733808	0.161753862020657	0.189895152564906	0.265432535836263	1.15235417976803	0.518321055348816	0.872683907161097	0.535607550584276	1.51657132249548	0.58295604883929	0.409714177731321	0.781074630087331	0.336645956563912	1.51733394554472	3.06570919769169	0.277777777777778	0.0825516470518083	0.388821254710116	1.43637033222962	0.158517294453712	1.1427711863607	0.372937070314101	0.0930242620309913	0.320750149549792	1.88561808316413	0.168677800268708	0.150465280944653	0.081813448945636	0.668288729080597	0.279705234119875
Nectriaceae	0.734072201169179	8.01559857597844	1.11179761788721	9.88109245302272	0.423273874955896	0.196047028173806	9.75240419899672	9.75166665461074	3.96073857253518	0.388709971513682	9.54230100458954	0.377023090543706	4.45221020755058	0.518351449981679	4.02216083439956	0.558508169230745	0.596601354688838	9.51993454514829	8.64582779445678	0.817350976268225	0.764719112901873	9.09257257352334	6.17602455656926	0.236252516425703	3.5925170131403	0.155447509108863	9.5800800592884	0.478749631229233	8.727258936441	4.61070189936854	3.16789718610761	1.08771420242567	0.34375167847909	0.385993426237026	0.437609522924444	0.273888179805627	0.767083741652735	0.439630624555578	0.289679206766116	0.289937732203489	1.31142903697892	4.81918749772156	5.34464113911071	8.36743593649185	4.17166818505613	9.88408179620712	5.20341640259439	2.09672226776504	9.80938598514981	8.90269783789793	8.15052789994298	5.61842881548775	4.26626982281456	7.49492474543095	1.62485541175597	0.267500188086136	3.06585678184558	0.186371357072543	8.72847737705085	6.77701917218442	2.11748210470498	0	0.102597835208515	0.260554529020984	0.620173672946042	0.0660357376458606	0.101503228615292	0.589270477827843	1.91372752519355	0.315440148938256	1.00055260496036	0.825426671229406	1.04722647723374	0	0.991571192228069	0.357828133482257	0.206152704388184	1.13557246309365	0.21810663971118	0	0.0825516470518083	0.625858398976153	0.401732269292901	0	2.14023466812048	0	0.174032458588727	0	0	0	0.184281581159458	0	0.604489899813767	0.216658742718665
Lecanoraceae	0.715165878656114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.586899873102969	0	0	0.411714009435991	0	0	0	0.289349057845737	0	0	0	0	0	0	0	0	0	0	0	0	0.497749658788837	0.178244907420789	0.191008812490358	0.154978236771953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132071475291721	0	0.173766383910536	0	0.65411061489431	0.303523103590917	0.109330433442784	0.195139132577691	0	0	0	0.119022319372687	0	0	0.680413817439772	0	0	0	0	0	0.18646853515705	0.0657780864969882	0	0	0	0.106395020489103	0.0578508445417186	0	0.125087983430907
Kondoaceae	1.40455790288196	0	1.19744268090044	0	0.0686640895228701	0.33956341346992	0.372699565135954	0	0.199920047968022	0.918485828729783	0	0.795331080792091	0	1.10828201815368	0	0.671243280642323	1.03334385818549	0	0.160535152970363	0.172954478318561	2.09426954145848	0	0	1.30207076030582	0	1.4812442980157	0.15305126468887	0.0698328108888722	0	0	0	0	1.15414221751252	1.73599541354519	1.69485439442814	0.301810074577785	0.806446617832861	0.317189137426307	1.08219599103496	0.593521459990991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66875047021534	0	0	0	0	0.480199804686772	2.17786202592188	2.0976176963403	0	0.191389750587738	0.219015764525667	0.101503228615292	0.141879658343127	0.682052020727351	0.527832326761188	0.271479316948401	0.289261137620505	0.326530223680574	0.628211983320696	0.109500719969601	0.756583417758687	0.798425990871056	0.558638329033211	0.116582902797111	0	0.233491317713809	0.11723401930806	0.647100108265924	0.158517294453712	0.543971211774417	3.33565056220779	0.348064917177453	0.40572041296679	0	0	0.352872362524529	0.081813448945636	0.885974380129913	0.176901122657889
Physalacriaceae	0.523447824863103	0.101268743572619	0.916811802571815	0.111168965397744	0.227733021518733	0.56025104871734	0	0.135985216490851	0.346271680532222	0.65429637948217	0	0.421524629771392	0.396110799764885	0.634848279943456	0.421637021355784	0.573812596529762	0.448252182309055	0.556907722863991	0.179483757410029	0.66984981417978	0	0	0	0.575676172761233	0.566008951098048	0.367855946388855	0	0.362861929484627	0.311588476424878	0.200845329318348	0.165419238367082	0.306970634717715	0.387804195017008	0.797870659352717	0.811349770462728	0.351053405161472	0.454381193515243	0.235795848749569	0.352202847697915	0.228121787775837	0.336374450559063	0.819624931777204	0.295559330346664	0.282682571044917	0.160716463806121	0	0.864837069233344	0.413576991201411	0.166779628628837	0.0665558325639722	0.0904739679759304	0.170255418651144	0	0.136085913661305	0.111246245212886	1.07832773203438	0.431853650594178	0	0.120648417962749	0.063075478702321	0.767652453601811	0.185391927265748	0.732695097065047	2.06808746028326	0	0	0	0	0	0	0	0	0.106882104764792	0	0.154857403270628	0.0867860700097035	0.119022319372687	0	0	0	0	0	0.066044378239636	0	0	0	0	0	0	0	0	0	0	0
Bondarzewiaceae	0.331057472565664	0	0.368741554134281	0	0.322063127631997	0.357931265542148	0	0	0	0.372161463782393	0	0.0843049259542784	0	0.25917572499084	0	0.294359651096654	0.378842239069841	0	0	0.546930083012863	0	0	0	0.295315645532129	0	0.3544748595576	0	0.231609231774234	0	0	0	0	0.310935092337281	0.272938569185631	0.394455893383854	0.310560004631071	0	0.241344745552878	0.270127253156643	0.154978236771953	0.184239874339605	0	0	0.0816034292439991	0	0	0	0	0	0	0	0	0	0	0	0.681994339470473	0	0	0	0	0	0	0	0	0.0781345384897492	0	0	0	0	0	0.175239145563487	0	0.0617084119575067	0	0.154857403270628	0	0.168322978281956	0	0	0	0.0825516470518083	0	0	0	0.140452762934572	0.263706331374945	0	0	0	0	0	0	0.201496633271255	0
Cystofilobasidiales_fam_Incertae_sedis	0.0955680604515117	0	0	0	0	0	0	0	0	0	0	1.4307020359128	0	0	0	0.436605919825003	0	0	0	0.528384659117604	0	0	0	0	0	0.340568428987656	0	0	0	0	0	0.354459157175166	0.983263096260576	0	3.3737821128613	0.474388243015906	0	0	0	1.09036854627722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627343548977472	0	0	0	0	0.4383604418942	0	2.06219096568367	0	0.206724557648681	0.174714139453653	0.0717736212662014	0.255777191550729	0	0.172773685116272	0.0783693283597874	0.409077023890389	0.222492843440245	0	0	0.766473816854088	0	0.287115615306837	0	0	0	0	0.238126392199146	0	0.494585214940605	0.589665283051462	0.113930987837444	0	0	0	0.451395842833958	0	0.164521312134428	0.55941046823975
