OTU_ID	R211L5S10	R211L5S11	R211L5S12	R211L5S14	R211L5S15	R211L5S17	R211L5S1	R211L5S21	R211L5S22	R211L5S23	R211L5S26	R211L5S27	R211L5S29	R211L5S30	R211L5S33	R211L5S34	R211L5S35	R211L5S36	R211L5S37	R211L5S38	R211L5S39	R211L5S41	R211L5S42	R211L5S43	R211L5S46	R211L5S50	R211L5S53	R211L5S58	R211L5S5	R211L5S61	R211L5S66	R211L5S68	R211L5S69	R211L5S6	R211L5S70	R211L5S73	R211L5S74	R211L5S75	R211L5S78
Zotu1924	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Zotu4428	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Zotu3459	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1725	0	0	0	1	1	0	0	1	7	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	1	0	0	0	0
Zotu6009	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1
Zotu3371	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	2	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0
Zotu1601	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	4	1	2	2	0	0	0	0	0	0	2	2	0	0
Zotu2649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Zotu1840	0	0	0	0	0	0	0	3	0	0	0	0	2	1	6	0	0	0	0	1	0	0	0	0	3	2	1	0	4	0	0	0	0	0	0	10	0	0	0
Zotu1007	0	0	0	2	0	0	0	3	0	1	1	0	2	1	1	1	0	0	4	0	0	1	8	0	1	2	8	1	6	7	1	0	4	4	0	2	0	0	0
Zotu1032	0	0	0	0	0	0	2	0	5	0	7	0	2	6	1	1	0	1	0	2	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0
Zotu1841	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu2438	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Zotu1768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	7	19	2	0	0
Zotu5044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3372	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0
Zotu1345	0	0	0	5	1	0	3	0	5	0	0	0	0	0	3	1	2	0	2	0	7	1	0	0	0	5	0	1	5	1	0	3	2	7	2	0	0	0	4
Zotu5738	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5397	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Zotu3662	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu1343	0	0	0	2	2	0	0	3	3	0	0	0	0	0	4	0	0	0	0	1	0	2	1	0	6	2	0	4	2	0	0	0	15	0	4	1	0	0	0
Zotu2226	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Zotu5721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu5398	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	1	1	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0
Zotu1926	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	3	3	0	0	0	4	0	2	0	0	5	0	0	0	4	1	1	2	0	0	0
Zotu5313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	4	0	0	0	0	0
Zotu1953	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
Zotu2686	0	0	0	0	0	0	0	2	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	5	0	0	3	0	0	0
Zotu2551	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0
Zotu5778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2439	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu887	0	0	0	1	0	0	0	10	0	0	0	0	0	0	1	0	0	0	2	0	2	0	2	0	7	1	7	0	14	6	0	0	10	0	5	4	0	0	6
Zotu1476	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3806	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Zotu1751	0	0	0	0	1	0	4	3	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	5	0	1	0	0	0
Zotu959	0	0	0	2	2	0	3	1	0	0	0	0	10	0	7	1	0	0	3	6	0	0	1	0	2	1	16	0	0	17	4	0	7	1	6	3	0	0	1
Zotu4061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2
Zotu5572	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	0
Zotu2263	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Zotu1582	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	2	1	0	0	0	0	0	3	0	0	0
Zotu2552	0	0	0	0	0	0	6	0	4	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	1	2	0	7	0	0	0
Zotu4767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu960	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0	5	0	3	0	0	0	2	0	2	1	0	1	2	0	0	1	0	0	0
Zotu3449	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	4	0	1	0	0	0	4	1
Zotu3157	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu934	0	0	0	0	0	0	11	1	0	0	0	0	0	2	1	4	0	0	0	0	0	3	0	0	11	5	0	0	6	0	0	0	0	4	1	0	0	25	0
Zotu1629	0	0	0	12	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	5	0	4	0	0	1	0	0	0
Zotu2861	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
Zotu1644	0	0	0	0	3	0	3	0	0	0	2	1	1	2	7	0	0	0	0	6	0	0	0	1	0	0	0	0	3	2	0	2	0	0	1	3	0	0	2
Zotu3899	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu950	0	0	0	1	0	0	0	1	5	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	4	3	9	0	0	0	1	0	8	0	0	13	0	0	0
Zotu1630	0	0	0	0	0	0	0	5	1	0	0	0	2	0	1	0	0	0	0	0	0	2	0	3	1	0	2	0	0	0	0	1	4	0	0	6	0	0	0
Zotu4960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu5645	0	0	0	0	0	2	0	0	0	0	1	0	0	4	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
Zotu4075	0	0	0	0	5	0	4	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	0	0	0
Zotu6002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2155	0	0	0	0	0	3	0	0	1	0	2	0	0	0	5	0	11	0	0	0	0	1	2	0	0	0	8	0	0	0	0	0	0	1	0	1	0	4	1
Zotu4274	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4696	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0
Zotu4275	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5401	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3968	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0
Zotu901	0	0	0	6	3	0	3	2	10	0	3	2	0	4	2	1	0	0	0	0	6	7	1	0	5	10	5	0	0	0	0	4	6	0	1	10	0	0	0
Zotu1470	0	0	0	2	1	0	0	0	4	1	0	0	3	1	2	0	0	0	1	0	1	1	1	0	6	5	0	4	2	5	0	2	2	0	0	1	0	0	0
Zotu4722	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2194	0	0	0	2	0	0	0	0	0	0	0	10	0	2	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Zotu2447	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	2	0	0	0
Zotu1789	0	0	0	5	0	0	0	1	3	0	0	3	0	0	0	3	0	0	0	1	6	0	0	1	0	2	0	0	2	1	1	0	1	0	0	0	0	0	0
Zotu469	0	0	0	5	5	0	45	0	0	0	0	4	3	4	13	4	0	0	1	7	1	1	5	3	1	28	3	0	2	6	0	0	10	11	5	13	9	0	4
Zotu5792	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5047	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5057	0	0	0	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu1424	0	0	0	1	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	2	0	1	6	3	0	0
Zotu3818	0	0	0	4	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0
Zotu1619	0	0	0	5	0	0	0	1	3	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	1	2	1	0	6	0	0	2	0	0	0	0	1	0	0
Zotu600	0	0	0	3	0	0	9	0	2	0	0	3	1	0	6	4	0	0	0	15	1	2	10	1	1	5	0	1	1	5	0	7	17	4	1	0	8	15	0
Zotu620	0	0	0	2	0	0	0	0	0	0	0	0	63	0	2	14	0	5	0	1	0	0	0	1	3	0	0	0	0	8	0	0	10	1	0	4	0	0	3
Zotu5402	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu909	0	0	0	4	1	0	12	0	0	2	3	0	1	0	1	7	0	0	0	2	0	0	0	0	0	5	0	0	0	0	3	8	0	12	5	10	2	11	2
Zotu1791	0	0	0	1	1	0	9	0	0	9	0	0	0	3	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0
Zotu4279	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3378	0	0	0	4	2	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1
Zotu2357	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	5	0	0	0	0	0	0	0	3	4	0	0	0	0	1	0	0	0	0
Zotu3759	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Zotu5052	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Zotu5781	0	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2775	0	0	0	3	0	0	0	0	0	5	3	0	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4281	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2121	0	0	0	2	2	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	2
Zotu1178	0	0	0	5	0	0	1	2	2	0	0	10	0	2	3	0	0	0	8	2	1	8	0	2	0	0	4	0	5	1	0	0	0	3	0	0	0	2	1
Zotu4065	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu910	0	0	0	9	1	0	15	4	0	0	4	2	14	6	7	0	0	0	10	1	0	0	0	0	15	0	1	0	1	0	1	6	0	0	0	11	4	0	0
Zotu1490	0	0	0	3	0	1	6	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0
Zotu3482	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
Zotu430	0	0	0	6	1	0	219	0	3	0	0	5	0	7	5	5	0	0	0	31	3	2	1	2	4	5	0	2	0	2	0	2	1	11	4	1	24	0	8
Zotu3761	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	5	0	0	0	1	0	0	0	0	1
Zotu2443	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4517	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3382	0	0	0	2	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4283	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4519	0	0	0	1	1	0	0	2	0	0	0	0	3	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	6	3	0	0
Zotu2445	0	0	0	1	0	0	16	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4280	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0
Zotu3624	0	0	0	2	0	0	0	0	0	0	0	0	2	5	1	0	0	0	0	0	0	0	1	0	0	6	1	0	0	0	0	1	0	0	1	0	0	0	0
Zotu803	0	0	0	3	0	0	47	0	9	0	1	1	1	7	1	2	5	0	0	0	1	2	5	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	3
Zotu2987	0	0	0	3	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu740	0	0	0	3	1	0	7	0	3	0	0	1	3	12	0	2	0	0	0	26	0	0	2	0	3	0	0	2	2	3	0	0	0	2	1	4	0	0	0
Zotu2007	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
Zotu1094	0	0	0	6	0	5	0	2	1	0	0	0	0	11	3	1	0	0	0	1	2	2	0	0	1	2	0	2	3	2	0	2	0	0	5	6	0	0	0
Zotu2358	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	7	0	0	0	0	2	5	0	0	0	0	0	0
Zotu3384	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0
Zotu1116	0	0	0	1	2	0	1	1	2	2	0	5	3	1	10	0	0	3	0	0	0	2	12	0	2	1	3	0	0	0	0	0	2	6	0	2	3	0	1
Zotu392	0	0	0	4	2	1	56	0	0	0	1	11	1	11	4	7	0	0	3	12	1	1	5	3	2	14	2	3	6	13	0	4	10	12	6	11	8	2	13
Zotu2092	0	0	0	1	0	0	0	1	6	0	1	4	0	0	1	0	0	0	9	0	0	0	0	0	8	0	0	0	4	3	0	0	8	0	0	1	1	0	0
Zotu5058	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6093	0	0	0	1	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1449	0	0	0	1	0	0	19	2	0	0	0	0	1	0	1	6	0	0	5	0	6	0	1	0	0	1	0	0	0	0	4	1	0	3	0	2	0	3	0
Zotu4774	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3075	0	0	0	1	0	0	4	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1632	0	0	0	1	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4124	0	0	0	1	0	0	0	5	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3904	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Zotu1871	0	0	0	1	0	0	26	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	1	0
Zotu5059	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Zotu3385	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Zotu2653	0	0	0	2	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Zotu1903	0	0	0	2	0	2	6	0	0	0	0	4	0	7	0	4	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0
Zotu3377	0	0	0	10	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	2	1	2	0	0	0	0	2
Zotu493	0	0	0	4	0	0	19	3	0	1	0	0	0	0	0	12	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	23	0	0
Zotu4775	0	0	0	2	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu4998	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3763	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0
Zotu1346	0	0	0	8	2	0	42	0	0	0	0	0	0	1	4	5	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Zotu2495	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
Zotu2229	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4776	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu845	0	0	0	4	0	0	9	2	1	5	1	1	2	7	4	3	5	6	2	1	6	0	6	15	0	1	5	0	0	0	5	0	4	1	4	3	0	0	1
Zotu1431	0	0	0	4	0	0	0	0	1	1	0	2	4	1	3	4	0	0	2	0	0	0	0	1	0	2	1	0	0	4	0	0	5	0	0	7	0	0	1
Zotu2654	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	3	0	1
Zotu2841	0	0	0	1	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu5060	0	0	0	2	0	2	4	0	0	0	0	1	2	0	3	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
Zotu5144	0	0	0	1	1	0	0	0	0	0	0	2	1	1	2	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0
Zotu1042	0	0	0	3	0	0	10	2	3	0	6	4	0	9	0	0	0	0	0	0	11	0	7	0	3	1	0	0	0	0	5	4	3	3	1	0	0	0	0
Zotu1731	0	0	0	7	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	5	0	1	3	0	0	0
Zotu2264	0	0	0	3	0	0	0	0	1	0	0	3	1	9	3	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	1	0	4	6	3	1
Zotu2406	0	0	0	4	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5061	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1167	0	0	0	2	0	0	10	2	0	0	0	0	1	4	2	0	0	0	0	9	0	0	3	0	1	0	2	0	0	0	0	0	0	2	2	3	0	0	0
Zotu3905	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	2	0	0
Zotu3392	0	0	0	1	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0
Zotu2496	0	0	0	2	1	0	4	0	0	0	0	0	3	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu2356	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Zotu533	0	0	0	6	8	0	40	2	1	0	0	3	1	3	3	2	0	0	1	6	1	0	0	1	6	1	1	0	3	6	0	0	13	12	1	5	0	0	11
Zotu2915	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0
Zotu5062	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3265	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0
Zotu1560	0	0	0	4	2	0	5	4	2	0	5	0	1	2	2	10	0	0	0	6	0	0	0	0	0	1	1	0	4	0	0	0	0	2	0	0	0	0	0
Zotu939	0	0	0	4	1	0	1	3	5	0	2	0	2	0	1	2	0	4	0	0	2	0	9	0	3	0	2	0	1	3	0	0	7	10	3	7	3	0	6
Zotu3165	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0
Zotu1645	0	0	0	3	0	0	7	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	1	0	0	2	0	0	0	2	0	0	9	2	0	0	0	0	3
