OTU_ID	R211L5S10	R211L5S11	R211L5S12	R211L5S14	R211L5S15	R211L5S17	R211L5S1	R211L5S21	R211L5S22	R211L5S23	R211L5S26	R211L5S27	R211L5S29	R211L5S30	R211L5S33	R211L5S34	R211L5S35	R211L5S36	R211L5S37	R211L5S38	R211L5S39	R211L5S41	R211L5S42	R211L5S43	R211L5S46	R211L5S50	R211L5S53	R211L5S58	R211L5S5	R211L5S61	R211L5S66	R211L5S68	R211L5S69	R211L5S6	R211L5S70	R211L5S73	R211L5S74	R211L5S75	R211L5S78
Zotu1763	2	0	0	3	0	0	1	2	2	0	0	14	0	0	1	3	0	0	0	7	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	4	0	0
Zotu423	1	4	1	0	6	0	31	0	6	0	3	9	1	6	7	4	0	0	6	0	0	4	5	6	18	6	12	3	1	2	1	10	21	7	3	9	4	5	2
Zotu983	1	1	0	0	0	0	15	0	0	0	2	3	4	1	0	0	4	0	2	0	0	0	0	2	0	14	0	6	0	1	0	0	0	0	0	7	3	0	4
Zotu815	1	1	0	0	6	0	25	1	9	4	1	5	0	0	4	0	0	0	0	1	9	1	4	0	0	5	0	0	7	9	0	0	4	6	1	3	0	0	0
Zotu2429	2	3	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	4	0	0	0	0	0	0	0
Zotu1123	4	0	0	0	0	1	1	1	0	0	0	0	0	2	4	0	0	0	2	1	0	0	1	0	13	0	10	0	5	2	0	0	4	1	0	6	0	1	0
Zotu4084	2	0	0	0	0	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu309	3	2	0	9	13	3	29	22	7	3	0	3	23	4	34	2	0	0	16	9	4	0	26	6	28	14	14	0	9	11	5	2	25	5	6	30	0	5	7
Zotu272	2	12	17	6	3	1	48	3	7	0	11	18	3	7	19	12	1	4	12	0	0	9	16	4	1	20	0	1	16	6	6	16	2	12	0	22	31	36	6
Zotu747	2	0	0	0	4	0	8	0	4	5	1	4	11	5	7	2	0	0	1	9	5	10	5	0	5	3	0	1	1	9	0	8	1	0	0	5	0	0	3
Zotu472	4	0	1	5	9	0	35	11	3	1	3	2	19	2	27	2	0	0	0	11	0	1	3	12	4	6	3	4	26	5	0	16	6	11	4	13	0	0	3
Zotu880	1	12	0	2	3	0	3	0	0	0	0	3	0	0	0	0	2	7	3	2	0	0	0	0	0	6	1	0	0	0	5	0	5	1	1	12	4	2	1
Zotu5364	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu1120	1	0	0	1	1	0	0	0	1	0	2	0	0	0	4	0	0	0	0	0	3	0	0	0	1	6	1	0	2	39	0	0	2	0	1	0	0	0	0
Zotu725	3	0	0	0	3	0	1	0	2	0	6	0	6	0	2	0	0	1	0	1	2	1	0	3	7	2	3	0	3	21	0	9	2	1	6	13	7	0	1
Zotu1100	2	0	2	2	5	5	12	0	2	4	0	1	9	5	1	7	0	0	1	1	2	0	1	0	0	3	0	0	0	5	0	0	7	0	1	3	0	0	5
Zotu285	1	0	0	0	253	0	0	3	0	0	3	0	20	11	1	3	0	0	0	0	24	0	0	3	0	0	2	0	0	0	0	0	0	0	43	0	15	1	0
Zotu2244	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Zotu2606	1	3	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0
Zotu928	1	0	5	2	1	0	19	0	0	0	0	0	6	0	8	4	0	0	0	11	2	0	6	3	0	3	1	0	1	6	0	5	8	0	5	2	0	1	0
Zotu1589	1	0	0	0	0	0	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	3	5	5	0	3	0	0	1
Zotu440	1	0	12	12	0	0	43	1	3	2	4	24	0	0	10	8	6	0	6	8	1	2	8	0	2	6	1	2	0	6	3	14	6	1	11	15	13	4	7
Zotu2693	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu1001	1	0	11	1	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1087	2	1	1	0	4	0	13	1	2	0	0	0	5	9	2	1	0	0	0	7	0	0	4	0	0	0	0	0	0	3	0	3	1	0	0	1	0	0	0
Zotu1923	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	2
Zotu989	1	0	0	7	0	0	0	4	0	13	0	5	3	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	8	8	1	0	0	0	0	0	0	0	0
Zotu2535	2	0	0	0	0	0	29	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2234	2	0	0	0	0	0	2	0	0	0	0	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Zotu590	1	0	0	0	4	0	13	2	1	1	0	3	5	0	14	0	0	1	0	0	1	4	0	1	1	6	8	0	19	9	0	0	18	19	4	35	0	1	2
Zotu436	3	2	6	11	5	0	38	5	4	2	5	20	0	6	8	3	0	5	4	2	0	0	5	5	0	7	2	2	8	9	0	10	19	4	5	10	6	2	0
Zotu1153	3	0	0	0	0	2	15	0	0	0	5	1	3	1	7	0	0	0	0	6	4	0	0	0	1	0	1	0	0	4	3	1	4	1	1	10	0	0	0
Zotu295	2	3	11	13	19	0	13	33	2	3	2	0	1	4	21	1	0	4	0	27	36	4	5	10	0	24	7	12	10	1	13	21	14	13	9	3	9	1	5
