#RNA counts for selected genes
samples	environment	genotype	environmentGenotype	PR1	PDF1.2	ACD6	UBQ10	AOC1	AOC2	DTX18	EDS1	NPR1	NPR3	NPR4	PAD3	PDF1.3	PR5	SIB1	UGT71B5
R82L1S58	GH-Tue	Est1	GH-Tue_Est1	69.1781382	1993.486741	884.0706626	3105.544287	258.0430183	1133.68928	5.782933708	52.00860365	78.42327219	37.48053595	45.40493652	11.06586742	608.0373764	658.2252466	55.97080393	8.424400562
R82L1S59	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	408.2110199	232.6164402	824.2119126	2705.259428	404.4428959	1600.445462	6.528998446	60.78998446	94.70310071	47.97836276	54.76098601	28.38411781	53.2537364	206.239572	78.12335499	11.80437209
R82L1S60	GH-Tue	Est1	GH-Tue_Est1	714.7820399	1540.636466	1002.46378	3244.84997	230.2078536	1194.980839	3.781540765	69.41235607	75.9754376	61.75542762	34.40925457	51.91080532	346.1556273	883.2344658	66.1308153	7.06308153
R82L1S61	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	963.6570927	6.985906348	1436.317518	3274.261229	50.7657742	397.7617638	16.71476587	106.7067164	112.3818845	65.35906348	80.76309106	61.30537201	1.310738293	1252.279925	155.3510141	1.310738293
R82L1S62	GH-Tue	Est1	GH-Tue_Est1	140.6972643	572.7004623	1648.632955	3031.043189	231.1734057	1059.315385	29.84361345	73.85903363	96.68184409	52.66642391	59.1872269	11.91140523	187.9730859	328.9854506	150.4784687	17.61710785
R82L1S64	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	2.217970252	7.371881006	481.5316704	2707.162131	38.29534554	55.47504805	19.39767277	37.43636041	75.23170594	29.70549428	41.73128604	7.371881006	5.653910755	34.00041991	19.39767277	3.076955377
R82L1S65	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	644.0343438	1560.097467	1180.694657	3264.738261	435.6299834	1633.382517	34.85236711	93.63308416	92.10631229	47.06654208	62.3342608	93.63308416	324.1756368	614.2622923	113.4811185	15.00433278
R82L1S66	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	2.627646998	7.946764493	779.2188013	2988.780209	97.30793841	559.007337	2.627646998	48.37205745	72.83999793	61.13793944	51.56352795	2.627646998	0.5	154.7544074	49.43588095	1.563823499
R82L1S68	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	1049.953987	3290.680068	1153.953932	4175.467476	324.3180096	1430.499239	206.1362543	56.43936419	110.8029716	61.95451277	68.25753972	143.8938631	1323.347781	363.711928	153.3484036	36.74240497
R82L1S69	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	5.069231814	26.08769816	687.7124648	2929.377593	23.34615907	50.76154995	20.60461998	38.88154724	100.1092535	33.39846906	36.14000815	10.55230999	1.413846363	74.52155539	27.00154452	0.5
R82L1S70	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	15.17373765	63.51075581	960.3350748	2930.931726	26.39483116	39.34224673	28.12115323	36.75276362	92.85823112	34.1632805	54.87914543	6.54212727	1.363161039	59.19495062	27.25799219	3.952644154
R82L1S71	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	38.23841079	24.76040694	806.4846304	2863.228018	73.28122081	447.9697279	8.586802312	62.49881773	97.54162774	38.23841079	73.28122081	3.195600771	0.5	259.277674	73.28122081	3.195600771
R82L1S72	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	13.94817826	12.26715597	407.3073922	2442.184865	26.55584537	33.2799345	8.064600269	31.59891222	85.39162524	36.64197906	34.96095678	0.5	0.5	43.36606819	10.58613369	1.340511141
R82L1S73	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	554.9415211	3.502390909	1268.50976	4216.857633	87.56933635	512.9080484	10.5079697	79.56296059	103.5820879	67.55339696	74.55897575	38.53028484	1.50079697	836.1654696	117.5932454	1.50079697
R82L1S76	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	22.73432736	410.2468899	1683.956214	3557.992378	38.61598976	110.6128593	70.37931456	51.32131968	131.7884092	51.32131968	52.38009717	8.970219947	50.26254219	227.0783836	48.1449872	2.617554987
R82L1S77	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	270.1714227	5.787674955	1649.373307	3047.082053	94.79687003	572.4501743	11.07534991	85.98407844	110.6598949	44.56395796	84.22152012	7.550233274	0.5	462.2902794	114.1850115	2.262558318
R82L1S8	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	46.35550411	23.42775206	725.9340751	2735.322265	16.0908714	27.09619239	16.0908714	55.52660494	92.21100823	36.26729321	28.93041255	9.671100823	4.168440329	117.8900905	22.51064197	5.085550411
R82L1S80	GH-Tue	Est1	GH-Tue_Est1	611.6018072	1335.498638	2152.103708	3257.649455	173.555379	1099.092629	39.90100148	73.89402236	113.2950238	46.85411939	49.94439401	97.07108205	672.6347311	814.0147952	173.555379	19.04164775
R82L1S81	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	8.457342269	11.86763181	767.8151473	3087.9488	22.09850044	43.69700089	17.55144772	44.83376407	92.57781768	38.01318498	41.42347453	3.910289544	1.636763181	197.1600304	19.82497408	2.773526363
