CORNER	D1AgITS1F1F3F5_WILD	H12AgITS1F2F4F6_WILD	E8AgITS1F1F3F5_WILD	C5AgITS1F1F3F5_WILD	E2AgITS1F1F3F5_WILD	D7AgITS1F1F3F5_WILD	B6AgITS1F1F3F5_WILD	C3AgITS1F1F3F5_WILD	C10AgITS1F1F3F5_WILD	A9AgITS1F1F3F5_WILD	F8AgITS1F1F3F5_WILD	B11AgITS1F1F3F5_WILD	G2AgITS1F1F3F5_WILD	D9AgITS1F1F3F5_WILD	D3AgITS1F1F3F5_WILD	E10AgITS1F1F3F5_WILD	A7AgITS1F1F3F5_WILD	A1AgITS1F1F3F5_WILD	B8AgITS1F1F3F5_WILD	B4AgITS1F1F3F5_WILD	H5AgITS1F2F4F6_WILD	E4AgITS1F1F3F5_WILD	H3AgITS1F2F4F6_WILD	A3AgITS1F1F3F5_WILD	C8AgITS1F1F3F5_WILD	F12AgITS1F1F3F5_WILD	D11AgITS1F1F3F5_WILD	C6AgITS1F1F3F5_WILD	B2AgITS1F1F3F5_WILD	D5AgITS1F1F3F5_WILD
Otu2806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu2005	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	18
Otu117	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	23	1	4	3	1
Otu734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Otu2957	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu696	3	8	1	4	0	36	21	2	34	4	0	5	0	12	0	0	4	4	25	1	78	0	6	2	0	0	2	5	7	3
Otu1308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu1047	0	1	0	0	0	2	0	0	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu681	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu1293	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1463	0	0	0	0	0	0	4	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2172	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
