CORNER	Samp2R1V4GI502comboCT	Samp6R1V4GI502comboCT	Samp10R1V4GI502comboCT	Samp12R1V4GI502comboCT	Samp15R1V4GI502comboCT	Samp16R1V4GI502comboCT	Samp20R1V4GI502comboCT	Samp21R1V4GI502comboCT	Samp25R1V4GI502comboCT	Samp28R1V4GI502comboCT	Samp29R1V4GI502comboCT	Samp34R1V4GI502comboCT	Samp35R1V4GI502comboCT	Samp36R1V4GI502comboCT	Samp40R1V4GI502comboCT	Samp43R1V4GI502comboCT	Samp44R1V4GI502comboCT	Samp45R1V4GI502comboCT	Samp47R1V4GI502comboCT	Samp51R1V4GI502comboCT	Samp52R1V4GI502comboCT	Samp55R1V4GI502comboCT	Samp57R1V4GI502comboCT	Samp16R1V4GI502comboAG	Samp69R1V4GI502comboCT	Samp18R1V4GI502comboAG	Samp85R1V4GI502comboCT	Samp90R1V4GI502comboCT	Samp94R1V4GI502comboCT	Samp2R1V4GI502comboAG	Samp21R1V4GI502comboAG	Samp24R1V4GI502comboAG	Samp26R1V4GI502comboAG	Samp27R1V4GI502comboAG	Samp28R1V4GI502comboAG	Samp33R1V4GI502comboAG	Samp34R1V4GI502comboAG	Samp35R1V4GI502comboAG	Samp38R1V4GI502comboAG	Samp41R1V4GI502comboAG	Samp43R1V4GI502comboAG	Samp45R1V4GI502comboAG	Samp47R1V4GI502comboAG	Samp54R1V4GI502comboAG	Samp57R1V4GI502comboAG	Samp63R1V4GI502comboAG	Samp68R1V4GI502comboAG	Samp75R1V4GI502comboAG	Samp77R1V4GI502comboAG	Samp81R1V4GI502comboAG	Samp83R1V4GI502comboAG	Samp84R1V4GI502comboAG	Samp88R1V4GI502comboAG
Zotu277	0	0	0	0	0	0	0	0	0	208	0	0	10	12	40	0	98	0	0	8	6	24	28	0	0	0	0	56	20	16	0	210	26	30	0	0	0	16	4	118	4	0	36	46	68	0	0	0	28	8	0	0	2
Zotu224	0	16	4	100	0	28	18	0	2	82	4	0	256	0	34	70	30	52	4	48	0	2	88	0	18	0	6	0	26	38	0	136	56	40	36	76	56	34	4	52	12	0	6	0	88	12	6	56	6	108	22	6	10
Zotu6787	2	4	22	22	0	0	8	0	0	0	0	4	0	2	12	0	6	0	0	0	32	0	0	0	0	0	0	0	0	0	12	0	0	12	4	0	0	0	0	0	2	0	10	0	0	4	2	0	0	0	4	42	0
Zotu4985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10	824	892	166	1324	484	1018	130	2758	192	6036	1692	380	4808	404	1784	2876	4942	2550	1528	542	472	896	2276	840	406	118	1166	1780	1220	1198	590	3128	1846	1508	920	1864	2956	1080	630	3500	1742	4324	1134	3724	4402	658	212	1130	4060	2566	762	1202	532
Zotu1214	7648	1104	5018	4236	58	3042	2898	178	72	226	134	1286	3082	324	3372	458	1508	240	326	258	2774	10	392	1794	26	3754	320	286	16	10	4720	2	3194	6204	728	68	148	68	2	212	218	638	922	38	408	192	374	686	130	138	612	4034	2
Zotu8	20494	4454	22262	22316	638	14764	17068	1996	1272	2876	1124	12314	6798	838	33266	834	9054	1524	800	1776	13842	116	2488	4096	228	12456	4296	2718	606	206	23276	70	21764	43980	3916	990	2734	1442	196	2474	3402	6796	7610	580	5486	1134	2314	4090	3378	1900	3860	24602	24
Zotu2146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	6	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
Zotu6788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
